url,isbn,title
https://storage.googleapis.com/du-prd/books/images/9780385354288.jpg,9780385354288,THE GIRL IN THE SPIDER'S WEB
https://storage.googleapis.com/du-prd/books/images/9781501108570.jpg,9781501108556,ALL DRESSED IN WHITE
https://storage.googleapis.com/du-prd/books/images/9780698405127.jpg,9781594634475,FATES AND FURIES
https://storage.googleapis.com/du-prd/books/images/9780399168796.jpg,9780399168796,GATHERING PREY
https://storage.googleapis.com/du-prd/books/images/9781455586387.jpg,9781455559824,MEMORY MAN
https://storage.googleapis.com/du-prd/books/images/9780307594174.jpg,9780307594174,GOD HELP THE CHILD
https://storage.googleapis.com/du-prd/books/images/9780062311146.jpg,9780062311115,THE BONE TREE
https://storage.googleapis.com/du-prd/books/images/9780698161351.jpg,9780399170867,THE LIAR
https://storage.googleapis.com/du-prd/books/images/9780385523233.jpg,9780385523233,AT THE WATER'S EDGE
https://storage.googleapis.com/du-prd/books/images/9780307700322.jpg,9780307700322,EARLY WARNING
https://storage.googleapis.com/du-prd/books/images/9780525953500.jpg,9780525953500,THE STRANGER
https://storage.googleapis.com/du-prd/books/images/9781501110993.jpg,9781501110993,DEATH WEARS A BEAUTY MASK AND OTHER STORIES
https://storage.googleapis.com/du-prd/books/images/9781250010117.jpg,9781250010117,EVERY FIFTEEN MINUTES
https://storage.googleapis.com/du-prd/books/images/9781101874288.jpg,9781101874271,A SPOOL OF BLUE THREAD
https://storage.googleapis.com/du-prd/books/images/9780914671176.jpg,9780914671176,MY STRUGGLE: BOOK FOUR
https://storage.googleapis.com/du-prd/books/images/9781250020086.jpg,9781250020086,YOUR NEXT BREATH
https://storage.googleapis.com/du-prd/books/images/9780345511447.jpg,9780345511447,STAR WARS: LORDS OF THE SITH
https://storage.googleapis.com/du-prd/books/images/9780316410977.jpg,9780316410977,MIRACLE AT AUGUSTA
https://storage.googleapis.com/du-prd/books/images/9781466862609.jpg,9781250056238,THE PATRIOT THREAT
https://storage.googleapis.com/du-prd/books/images/9780399165153.jpg,9780399165153,GARDEN OF LIES
https://storage.googleapis.com/du-prd/books/images/9780062888341.jpg,9780062888341,THE STRANGER IN THE LIFEBOAT
https://storage.googleapis.com/du-prd/books/images/9780316485647.jpg,9780316485647,THE DARK HOURS
https://storage.googleapis.com/du-prd/books/images/9780385546027.jpg,9780385546027,THE JUDGE'S LIST
https://storage.googleapis.com/du-prd/books/images/9781538728628.jpg,9781538728628,THE WISH
https://storage.googleapis.com/du-prd/books/images/9780593300015.jpg,9780593300015,NEVER
https://storage.googleapis.com/du-prd/books/images/9781984818508.jpg,9781984818508,BETTER OFF DEAD
https://storage.googleapis.com/du-prd/books/images/9781982154875.jpg,9781982154875,GAME ON
https://storage.googleapis.com/du-prd/books/images/9780735222359.jpg,9780735222359,THE LINCOLN HIGHWAY
https://storage.googleapis.com/du-prd/books/images/9780062671127.jpg,9780062671127,THE SENTENCE
https://storage.googleapis.com/du-prd/books/images/9781982173616.jpg,9781982173616,BILLY SUMMERS
https://storage.googleapis.com/du-prd/books/images/9781982168438.jpg,9781982168438,CLOUD CUCKOO LAND
https://storage.googleapis.com/du-prd/books/images/9780525559474.jpg,9780525559474,THE MIDNIGHT LIBRARY
https://storage.googleapis.com/du-prd/books/images/9781501171345.jpg,9781501171345,THE LAST THING HE TOLD ME
https://storage.googleapis.com/du-prd/books/images/9781250220257.jpg,9781250220257,APPLES NEVER FALL
https://storage.googleapis.com/du-prd/books/images/9781982173678.jpg,9781982173678,STATE OF TERROR
https://storage.googleapis.com/du-prd/books/images/9780698154162.jpg,9780399169168,HOT PURSUIT
https://storage.googleapis.com/du-prd/books/images/9780316406994.jpg,9780316406994,NYPD RED 3
https://storage.googleapis.com/du-prd/books/images/9780812993158.jpg,9780812993158,THE DREAM LOVER
https://storage.googleapis.com/du-prd/books/images/9780385354196.jpg,9780385354196,BLOOD ON SNOW
https://storage.googleapis.com/du-prd/books/images/9781451694147.jpg,9781451694147,THE FIFTH GOSPEL
https://storage.googleapis.com/du-prd/books/images/9781476717777.jpg,9781476717777,INSIDE THE O'BRIENS
https://storage.googleapis.com/du-prd/books/images/9780307271037.jpg,9780307271037,THE BURIED GIANT
https://storage.googleapis.com/du-prd/books/images/9780802191830.jpg,9780802123534,FALLING IN LOVE
https://storage.googleapis.com/du-prd/books/images/9780804197953.jpg,9780804197953,EMMA
https://storage.googleapis.com/du-prd/books/images/9780451417077.jpg,9780451417077,THE SHADOWS
https://storage.googleapis.com/du-prd/books/images/9781982104412.jpg,9781982104412,FORGIVING PARIS
https://storage.googleapis.com/du-prd/books/images/9780593490594.jpg,9780593490594,SILVERVIEW
https://storage.googleapis.com/du-prd/books/images/9781984818812.jpg,9781984818812,DEAR SANTA
https://storage.googleapis.com/du-prd/books/images/9780812989434.jpg,9780812989434,OH WILLIAM!
https://storage.googleapis.com/du-prd/books/images/9780385545136.jpg,9780385545136,HARLEM SHUFFLE
https://storage.googleapis.com/du-prd/books/images/9780062330260.jpg,9780062330260,TRIGGER WARNING
https://storage.googleapis.com/du-prd/books/images/9780316211147.jpg,9780316211154,PRIVATE VEGAS
https://storage.googleapis.com/du-prd/books/images/9780385537148.jpg,9780385537148,GRAY MOUNTAIN
https://storage.googleapis.com/du-prd/books/images/9780698186170.jpg,9780525954569,CRASH AND BURN
https://storage.googleapis.com/du-prd/books/images/9780345545886.jpg,9780345545879,SAINT ODD
https://storage.googleapis.com/du-prd/books/images/9781594205415.jpg,9781594205415,FUNNY GIRL
https://storage.googleapis.com/du-prd/books/images/9781439199374.jpg,9781439199350,THE BOSTON GIRL
https://storage.googleapis.com/du-prd/books/images/9781455521197.jpg,9781455521197,THE ESCAPE
https://storage.googleapis.com/du-prd/books/images/9781250019837.jpg,9781250019837,FIRST FROST
https://storage.googleapis.com/du-prd/books/images/9780698138636.jpg,9780399167065,BIG LITTLE LIES
https://storage.googleapis.com/du-prd/books/images/9780316210942.jpg,9780316210966,HOPE TO DIE
https://storage.googleapis.com/du-prd/books/images/9781616203047.jpg,9781616203047,DESCENT
https://storage.googleapis.com/du-prd/books/images/9780698157279.jpg,9780525954545,COLD COLD HEART
https://storage.googleapis.com/du-prd/books/images/9780345544933.jpg,9780345544926,LEAVING TIME
https://storage.googleapis.com/du-prd/books/images/9781594205712.jpg,9781594205712,EVERYTHING I NEVER TOLD YOU
https://storage.googleapis.com/du-prd/books/images/9780698154155.jpg,9780399169151,INSATIABLE APPETITES
https://storage.googleapis.com/du-prd/books/images/9780316248679.jpg,9780316055437,THE GOLDFINCH
https://storage.googleapis.com/du-prd/books/images/9780441018642.jpg,9780441018642,DEAD IN THE FAMILY
https://storage.googleapis.com/du-prd/books/images/9781429926539.jpg,9780312554163,HEART OF THE MATTER
https://storage.googleapis.com/du-prd/books/images/9780446563307.jpg,9780446554961,FEVER DREAM
